image,type,kernel_size,time
1,median,3,0.0753777
1,mean,3,0.0170174
1,highlight,3,0.0168001
12,median,3,0.0739861
12,mean,3,0.0169083
12,highlight,3,0.0167845
0,median,3,0.0734709
0,mean,3,0.0168409
0,highlight,3,0.0167769
5,median,3,0.0740034
5,mean,3,0.0168926
5,highlight,3,0.0168215
13,median,3,0.303107
13,mean,3,0.0672195
13,highlight,3,0.0708843
15,median,3,0.297383
15,mean,3,0.0676003
15,highlight,3,0.0675119
7,median,3,0.301797
7,mean,3,0.0673943
7,highlight,3,0.0673898
23,median,5,0.2559
23,mean,5,0.0394032
23,highlight,5,0.0391686
17,median,5,0.257528
17,mean,5,0.0393717
17,highlight,5,0.0392594
20,median,5,0.253965
20,mean,5,0.0394574
20,highlight,5,0.0391807
14,median,5,0.0369158
14,mean,5,0.0098907
14,highlight,5,0.00996508
saltpepper1,median,5,0.260607
saltpepper1,mean,5,0.0393493
saltpepper1,highlight,5,0.0397236
18,median,5,0.235397
18,mean,5,0.0395121
18,highlight,5,0.0394398
16,median,5,0.217568
16,mean,5,0.0394302
16,highlight,5,0.0395957
4,median,5,0.256402
4,mean,5,0.0395885
4,highlight,5,0.0397193
2,median,5,0.254264
2,mean,5,0.0394059
2,highlight,5,0.0392931
image,median,5,0.245146
image,mean,5,0.039539
image,highlight,5,0.0395619
3,median,5,0.063684
3,mean,5,0.00984584
3,highlight,5,0.00984076
8,median,5,0.255282
8,mean,5,0.0393301
8,highlight,5,0.0398615
9,median,5,0.261884
9,mean,5,0.0393052
9,highlight,5,0.039293
6,median,5,0.259464
6,mean,5,0.0392724
6,highlight,5,0.03936
24,median,5,0.259099
24,mean,5,0.0392741
24,highlight,5,0.0391912
21,median,5,0.248529
21,mean,5,0.0392988
21,highlight,5,0.0393282
22,median,5,0.253933
22,mean,5,0.0393526
22,highlight,5,0.0392157
1,median,5,0.259963
1,mean,5,0.0392678
1,highlight,5,0.0391316
12,median,5,0.252877
12,mean,5,0.039257
12,highlight,5,0.0393002
0,median,5,0.254384
0,mean,5,0.0394742
0,highlight,5,0.0394489
5,median,5,0.257585
5,mean,5,0.03942
5,highlight,5,0.039241
13,median,5,1.06651
13,mean,5,0.157238
13,highlight,5,0.15701
15,median,5,1.03447
15,mean,5,0.157395
15,highlight,5,0.162674
7,median,5,1.06563
7,mean,5,0.157392
7,highlight,5,0.157451
23,median,7,0.564537
23,mean,7,0.0734304
23,highlight,7,0.0736414
17,median,7,0.563587
17,mean,7,0.073528
17,highlight,7,0.073425
20,median,7,0.559677
20,mean,7,0.0733334
20,highlight,7,0.0758031
14,median,7,0.0836524
14,mean,7,0.0186047
14,highlight,7,0.0184519
saltpepper1,median,7,0.581528
saltpepper1,mean,7,0.0733054
saltpepper1,highlight,7,0.0739105
18,median,7,0.512887
18,mean,7,0.0732655
18,highlight,7,0.0735581
16,median,7,0.464117
16,mean,7,0.0734479
16,highlight,7,0.0741968
4,median,7,0.573559
4,mean,7,0.0735842
4,highlight,7,0.0738945
2,median,7,0.563953
2,mean,7,0.0732505
2,highlight,7,0.0735127
image,median,7,0.534353
image,mean,7,0.0734074
image,highlight,7,0.0743126
3,median,7,0.143139
3,mean,7,0.0183766
3,highlight,7,0.0183939
8,median,7,0.570545
8,mean,7,0.0735266
8,highlight,7,0.0740169
9,median,7,0.589267
9,mean,7,0.0740208
9,highlight,7,0.0849816
6,median,7,0.581405
6,mean,7,0.0732474
6,highlight,7,0.0735814
24,median,7,0.575315
24,mean,7,0.0733797
24,highlight,7,0.0734404
21,median,7,0.545657
21,mean,7,0.0734628
21,highlight,7,0.0735573
22,median,7,0.546302
22,mean,7,0.0734743
22,highlight,7,0.0732367
1,median,7,0.577902
1,mean,7,0.0735066
1,highlight,7,0.0733607
12,median,7,0.555558
12,mean,7,0.0733588
12,highlight,7,0.0731502
0,median,7,0.566779
0,mean,7,0.0736846
0,highlight,7,0.0736566
5,median,7,0.567093
5,mean,7,0.0732827
5,highlight,7,0.0736401
13,median,7,2.37479
13,mean,7,0.292816
13,highlight,7,0.293111
15,median,7,2.31128
15,mean,7,0.293588
15,highlight,7,0.293838
7,median,7,2.34494
7,mean,7,0.294564
7,highlight,7,0.292986
23,median,9,0.999647
23,mean,9,0.11825
23,highlight,9,0.118007
17,median,9,0.990336
17,mean,9,0.118162
17,highlight,9,0.117704
20,median,9,0.989704
20,mean,9,0.118214
20,highlight,9,0.117935
14,median,9,0.158988
14,mean,9,0.0293786
14,highlight,9,0.0296826
saltpepper1,median,9,1.038
saltpepper1,mean,9,0.117526
saltpepper1,highlight,9,0.118221
18,median,9,0.902986
18,mean,9,0.118368
18,highlight,9,0.117662
16,median,9,0.809225
16,mean,9,0.11842
16,highlight,9,0.118834
4,median,9,1.03203
4,mean,9,0.117865
4,highlight,9,0.118471
2,median,9,0.996911
2,mean,9,0.117891
2,highlight,9,0.118019
image,median,9,0.94068
image,mean,9,0.117966
image,highlight,9,0.118341
3,median,9,0.25672
3,mean,9,0.0295912
3,highlight,9,0.0294775
8,median,9,1.02025
8,mean,9,0.118114
8,highlight,9,0.119078
9,median,9,1.03903
9,mean,9,0.118415
9,highlight,9,0.117885
6,median,9,1.03401
6,mean,9,0.118567
6,highlight,9,0.118071
24,median,9,1.02728
24,mean,9,0.117837
24,highlight,9,0.117665
21,median,9,0.96434
21,mean,9,0.117355
21,highlight,9,0.11757
22,median,9,0.956723
22,mean,9,0.117351
22,highlight,9,0.117738
1,median,9,1.03464
1,mean,9,0.11826
1,highlight,9,0.117707
12,median,9,0.982132
12,mean,9,0.117736
